Log File Information
Timestamp,20250411_132359
Port,/dev/ttyACM0
Baud Rate,115200

Time(ms) (s),Heading(°) (degrees),WindDir(°),WindSpd(mph),Lat,Lon,Sat,Rudder(°),Sail(°),Status
82097,56.1,4.0,0.0,52.486099,-1.889462,8,135.0,16.0,OK
83122,56.1,4.0,0.0,52.486088,-1.889470,8,135.0,16.0,OK
84160,56.1,4.0,0.0,52.486076,-1.889479,8,135.0,16.0,OK
85189,56.1,4.0,0.0,52.486065,-1.889488,8,106.8,16.0,OK
86216,56.1,4.0,0.0,52.486065,-1.889467,8,106.8,16.0,OK
87238,56.1,4.0,0.0,52.486065,-1.889446,8,107.0,16.0,OK
88265,56.1,4.0,0.0,52.486065,-1.889426,8,106.8,16.0,OK
89299,56.1,4.0,0.0,52.486065,-1.889405,8,107.0,16.0,OK
90319,56.1,4.0,0.0,52.486065,-1.889384,8,107.0,16.0,OK
91339,56.1,4.0,0.0,52.486065,-1.889363,8,107.0,16.0,OK
92366,56.1,4.0,0.0,52.486065,-1.889343,8,106.8,16.0,OK
93394,56.1,4.0,0.0,52.486065,-1.889322,8,106.7,16.0,OK
94417,56.1,4.0,0.0,52.486065,-1.889301,8,107.0,16.0,OK
95447,56.1,4.0,0.0,52.486065,-1.889280,8,106.7,16.0,OK
96466,56.1,4.0,0.0,52.486065,-1.889260,8,107.0,16.0,OK
97485,56.1,4.0,0.0,52.486065,-1.889239,8,107.0,16.0,OK
98506,56.1,4.0,0.0,52.486065,-1.889217,8,107.0,16.0,OK
99534,56.1,4.0,0.0,52.486065,-1.889197,8,106.6,16.0,OK
100554,56.1,4.0,0.0,52.486065,-1.889176,8,107.0,16.0,OK
101575,56.1,4.0,0.0,52.486065,-1.889154,8,107.0,16.0,OK
102603,56.1,4.0,0.0,52.486065,-1.889134,8,106.5,16.0,OK
103625,56.1,4.0,0.0,52.486065,-1.889112,8,107.0,16.0,OK
104646,56.1,4.0,0.0,52.486065,-1.889091,8,107.0,16.0,OK
105671,56.1,4.0,0.0,52.486065,-1.889071,8,45.0,16.0,OK
106695,56.1,4.0,0.0,52.486076,-1.889084,8,45.0,16.0,OK
107721,56.1,4.0,0.0,52.486088,-1.889097,8,45.0,16.0,OK
108746,56.1,4.0,0.0,52.486099,-1.889110,8,45.0,16.0,OK
109771,56.1,4.0,0.0,52.486111,-1.889123,8,45.0,16.0,OK
110795,56.1,4.0,0.0,52.486122,-1.889136,8,45.0,16.0,OK
111820,56.1,4.0,0.0,52.486134,-1.889149,8,45.0,16.0,OK
112847,56.1,4.0,0.0,52.486145,-1.889163,8,45.0,16.0,OK
113872,56.1,4.0,0.0,52.486156,-1.889176,8,45.0,16.0,OK
114897,56.1,4.0,0.0,52.486168,-1.889189,8,45.0,16.0,OK
115921,56.1,4.0,0.0,52.486179,-1.889203,8,45.0,16.0,OK
116945,56.1,4.0,0.0,52.486191,-1.889217,8,45.0,16.0,OK
117969,56.1,4.0,0.0,52.486202,-1.889230,8,45.0,16.0,OK
118994,56.1,4.0,0.0,52.486214,-1.889244,8,45.0,16.0,OK
120019,56.1,4.0,0.0,52.486225,-1.889258,8,45.0,16.0,OK
121043,56.1,4.0,0.0,52.486233,-1.889271,8,45.0,16.0,OK
122071,56.1,4.0,0.0,52.486244,-1.889286,8,45.0,16.0,OK
123097,56.1,4.0,0.0,52.486256,-1.889300,8,45.0,16.0,OK
124121,56.1,4.0,0.0,52.486263,-1.889313,8,45.0,16.0,OK
125147,56.1,4.0,0.0,52.486271,-1.889328,8,135.0,16.0,OK
126172,56.1,4.0,0.0,52.486259,-1.889337,8,135.0,16.0,OK
127197,56.1,4.0,0.0,52.486248,-1.889345,8,135.0,16.0,OK
128222,56.1,4.0,0.0,52.486237,-1.889354,8,135.0,16.0,OK
129248,56.1,4.0,0.0,52.486225,-1.889363,8,135.0,16.0,OK
130274,56.1,4.0,0.0,52.486214,-1.889372,8,135.0,16.0,OK
131302,56.1,4.0,0.0,52.486202,-1.889381,8,135.0,16.0,OK
132329,56.1,4.0,0.0,52.486191,-1.889390,8,135.0,16.0,OK
133354,56.1,4.0,0.0,52.486179,-1.889399,8,135.0,16.0,OK
134379,56.1,4.0,0.0,52.486168,-1.889408,8,135.0,16.0,OK
135405,56.1,4.0,0.0,52.486156,-1.889417,8,135.0,16.0,OK
136431,56.1,4.0,0.0,52.486145,-1.889426,8,135.0,16.0,OK
137457,56.1,4.0,0.0,52.486134,-1.889435,8,135.0,16.0,OK
138482,56.1,4.0,0.0,52.486122,-1.889444,8,135.0,16.0,OK
139508,56.1,4.0,0.0,52.486111,-1.889453,8,135.0,16.0,OK
140536,56.1,4.0,0.0,52.486099,-1.889462,8,135.0,16.0,OK
141563,56.1,4.0,0.0,52.486088,-1.889471,8,135.0,16.0,OK
142588,56.1,4.0,0.0,52.486076,-1.889480,8,135.0,16.0,OK
143608,56.1,4.0,0.0,52.486065,-1.889489,8,107.0,16.0,OK
144636,56.1,4.0,0.0,52.486065,-1.889467,8,106.8,16.0,OK
145656,56.1,4.0,0.0,52.486065,-1.889446,8,107.0,16.0,OK
146683,56.1,4.0,0.0,52.486065,-1.889426,8,106.8,16.0,OK
147704,56.1,4.0,0.0,52.486065,-1.889404,8,107.0,16.0,OK
148724,56.1,4.0,0.0,52.486065,-1.889383,8,107.0,16.0,OK
149748,56.1,4.0,0.0,52.486065,-1.889362,8,107.0,16.0,OK
150777,56.1,4.0,0.0,52.486065,-1.889341,8,106.8,16.0,OK
151804,56.1,4.0,0.0,52.486065,-1.889320,8,106.7,16.0,OK
152824,56.1,4.0,0.0,52.486065,-1.889299,8,107.0,16.0,OK
153853,56.1,4.0,0.0,52.486065,-1.889278,8,106.7,16.0,OK
154873,56.1,4.0,0.0,52.486065,-1.889257,8,107.0,16.0,OK
155892,56.1,4.0,0.0,52.486065,-1.889236,8,107.0,16.0,OK
156921,56.1,4.0,0.0,52.486065,-1.889215,8,106.7,16.0,OK
157941,56.1,4.0,0.0,52.486065,-1.889194,8,107.0,16.0,OK
158972,56.1,4.0,0.0,52.486065,-1.889173,8,106.6,16.0,OK
159993,56.1,4.0,0.0,52.486065,-1.889152,8,107.0,16.0,OK
161013,56.1,4.0,0.0,52.486065,-1.889131,8,107.0,16.0,OK
162033,56.1,4.0,0.0,52.486065,-1.889110,8,107.0,16.0,OK
163054,56.1,4.0,0.0,52.486065,-1.889089,8,107.0,16.0,OK
164078,56.1,4.0,0.0,52.486065,-1.889068,8,45.0,16.0,OK
165103,56.1,4.0,0.0,52.486076,-1.889081,8,45.0,16.0,OK
166129,56.1,4.0,0.0,52.486088,-1.889095,8,45.0,16.0,OK
167154,56.1,4.0,0.0,52.486099,-1.889108,8,45.0,16.0,OK
168180,56.1,4.0,0.0,52.486111,-1.889121,8,45.0,16.0,OK
169205,56.1,4.0,0.0,52.486122,-1.889134,8,45.0,16.0,OK
170230,56.1,4.0,0.0,52.486134,-1.889147,8,45.0,16.0,OK
171254,56.1,4.0,0.0,52.486145,-1.889161,8,45.0,16.0,OK
172280,56.1,4.0,0.0,52.486156,-1.889174,8,45.0,16.0,OK
173304,56.1,4.0,0.0,52.486168,-1.889187,8,45.0,16.0,OK
174329,56.1,4.0,0.0,52.486179,-1.889201,8,45.0,16.0,OK
175353,56.1,4.0,0.0,52.486191,-1.889215,8,45.0,16.0,OK
