Log File Information
Timestamp,20250412_140035
Port,/dev/ttyACM0
Baud Rate,115200

Time(ms) (s),Heading(°) (degrees),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,Sat,Rudder(°),Sail(°),TargetSail(°),Status
39458,45.20,305.00,259.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,112.00,112.00,OK
40496,45.20,304.00,258.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,114.00,114.00,OK
41520,45.20,305.00,259.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,112.00,112.00,OK
42558,45.20,304.00,258.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,114.00,114.00,OK
43606,45.20,296.00,250.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,130.00,130.00,OK
44634,45.20,291.00,245.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,140.00,140.00,OK
45659,45.20,284.00,238.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,154.00,154.00,OK
46683,45.20,272.00,226.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,178.00,178.00,OK
47720,45.20,272.00,226.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,178.00,178.00,OK
48769,45.20,271.00,225.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
49795,45.20,265.00,219.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
50829,45.20,262.00,216.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
51877,45.20,262.00,216.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
52912,45.20,262.00,216.80,3.36,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
53971,45.20,262.00,216.80,2.40,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
55009,45.20,262.00,216.80,2.40,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
56043,45.20,262.00,216.80,2.40,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
57077,45.20,262.00,216.80,2.40,52.484100,-1.889305,9,0.00,40.37,68.18,180.00,180.00,OK
58126,45.20,297.00,251.80,2.40,52.484100,-1.889305,9,0.00,40.37,68.18,128.00,128.00,OK
59174,45.10,278.00,232.90,2.40,52.484100,-1.889305,10,0.00,40.37,68.23,166.00,166.00,OK
60212,45.10,282.00,236.90,2.40,52.484100,-1.889305,10,0.00,40.37,68.23,158.00,158.00,OK
61239,45.10,291.00,245.90,2.40,52.484085,-1.889282,10,1.48,210.40,68.14,140.00,140.00,OK
62263,45.10,268.00,222.90,2.40,52.484085,-1.889285,10,1.57,213.24,68.16,180.00,180.00,OK
63298,45.10,265.00,219.90,4.32,52.484088,-1.889285,10,0.00,218.55,68.16,180.00,180.00,OK
64345,45.10,265.00,219.90,4.32,52.484088,-1.889283,10,0.00,224.82,68.15,180.00,180.00,OK
65379,45.10,265.00,219.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,180.00,180.00,OK
66413,45.10,261.00,215.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,180.00,180.00,OK
67464,45.10,261.00,215.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,180.00,180.00,OK
68498,45.10,261.00,215.90,4.32,52.484096,-1.889280,10,0.00,355.62,68.14,180.00,180.00,OK
