Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status,DistanceToTarget(m)
7259,124.0,0.0,236.0,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,158.0,158.0,OK,57.647339014234575
8294,124.0,0.0,236.0,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,158.0,158.0,OK,57.647339014234575
9338,127.5,0.0,232.5,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,166.0,166.0,OK,57.647339014234575
10371,142.4,28.0,245.6,0.0,52.483722,-1.889897,9,0.0,25.9,45.0,140.0,140.0,OK,57.647339014234575
11438,175.5,53.0,237.5,0.0,52.483722,-1.889897,9,0.0,25.9,135.0,150.0,156.0,OK,57.647339014234575
12473,194.2,33.0,198.8,0.0,52.483722,-1.889897,9,0.0,25.9,135.0,180.0,180.0,OK,57.647339014234575
13506,198.0,20.0,182.0,0.0,52.483722,-1.889897,9,0.0,25.9,135.0,180.0,180.0,OK,57.647339014234575
14534,194.9,11.0,176.1,0.0,52.483722,-1.889897,8,0.0,25.9,135.0,180.0,180.0,OK,57.647339014234575
15572,168.5,18.0,209.5,0.0,52.483722,-1.889897,8,0.0,25.9,135.0,180.0,180.0,OK,57.647339014234575
16622,175.0,26.0,211.0,3.84,52.483722,-1.889897,9,0.0,25.9,135.0,180.0,180.0,OK,57.647339014234575
17656,197.2,11.0,173.8,3.84,52.483749,-1.88989,9,0.0,25.9,135.0,180.0,180.0,OK,54.89136111607219
18684,188.2,0.0,171.8,3.84,52.483757,-1.88991,9,4.19,309.97,135.0,180.0,180.0,OK,53.661541476529464
19717,157.7,36.0,238.3,3.84,52.483764,-1.889932,9,4.15,300.6,135.0,154.0,154.0,OK,52.527341578884624
20751,165.0,40.0,235.0,3.84,52.483768,-1.889952,9,4.24,294.18,135.0,160.0,160.0,OK,51.77838810319298
21816,188.1,24.0,195.9,5.28,52.483776,-1.889968,9,4.33,290.95,135.0,180.0,180.0,OK,50.677485414384094
22852,220.5,10.0,149.5,5.28,52.483779,-1.889982,9,3.91,319.67,135.0,180.0,180.0,OK,50.163315932723236
23881,231.8,0.0,128.2,5.28,52.483791,-1.889993,9,3.67,316.8,135.0,166.0,166.0,OK,48.71460819629665
24913,228.6,358.0,129.4,5.28,52.483795,-1.890005,9,1.87,330.61,135.0,168.0,168.0,OK,48.13670676581557
25960,207.0,358.0,151.0,5.28,52.483802,-1.890015,9,2.78,317.5,135.0,180.0,180.0,OK,47.260587840690775
27010,190.2,7.0,176.8,6.72,52.483806,-1.890023,9,2.19,314.64,135.0,180.0,180.0,OK,46.74034781107212
28043,192.6,13.0,180.4,6.72,52.48381,-1.890032,9,2.89,326.62,135.0,180.0,180.0,OK,46.21590306021933
29072,197.6,6.0,168.4,6.72,52.483821,-1.890042,9,3.74,334.71,135.0,180.0,180.0,OK,44.91703931414487
30115,230.3,0.0,129.7,6.72,52.483833,-1.890052,9,3.5,324.56,135.0,168.0,168.0,OK,43.513774819361124
31148,241.2,327.0,85.8,6.72,52.48384,-1.890062,9,2.76,318.87,135.0,80.0,80.0,OK,42.670333399877016
32221,223.2,330.0,106.8,6.72,52.483844,-1.890062,9,0.0,35.96,135.0,122.0,122.0,OK,42.227595756609254
33254,203.8,0.0,156.2,6.72,52.483848,-1.890065,9,0.0,14.07,135.0,180.0,180.0,OK,41.76563788946447
34282,203.7,0.0,156.3,6.72,52.483852,-1.890072,9,1.8,345.69,135.0,180.0,180.0,OK,41.28120435361686
35311,214.4,0.0,145.6,6.72,52.48386,-1.890075,9,2.56,346.68,135.0,180.0,180.0,OK,40.37818796487354
36357,226.6,332.0,105.4,8.16,52.483867,-1.890083,9,3.07,342.51,135.0,120.0,120.0,OK,39.56244192096411
37413,230.7,344.0,113.3,8.16,52.483875,-1.89009,9,3.32,348.4,135.0,136.0,136.0,OK,38.64543802904291
38451,227.8,324.0,96.2,8.16,52.483882,-1.890097,9,3.19,346.91,135.0,102.0,102.0,OK,37.84415835705916
39481,0.0,339.0,339.0,8.16,52.483898,-1.890107,9,3.63,351.57,79.26,0.0,0.0,OK,36.0414720215204
40511,358.2,345.0,346.8,8.16,52.483901,-1.89012,9,3.32,346.05,80.88,0.0,0.0,OK,35.69382838411589
41542,359.0,0.0,1.0,6.72,52.483924,-1.890137,9,3.69,349.3,80.43,0.0,0.0,OK,33.1516523858432
42605,7.7,0.0,352.3,6.72,52.483936,-1.890143,9,4.06,348.59,76.25,0.0,0.0,OK,31.83352649003512
43643,11.5,356.0,344.5,6.72,52.483951,-1.890152,9,4.22,348.92,74.23,0.0,0.0,OK,30.202223239107465
44674,32.6,356.0,323.4,6.72,52.483963,-1.890153,9,4.07,356.96,63.44,0.0,0.0,OK,28.875889165574034
45707,20.6,336.0,315.4,6.72,52.483974,-1.89016,9,2.69,5.6,69.39,0.0,0.0,OK,27.696136212875874
46749,2.0,346.0,344.0,6.72,52.483985,-1.890168,9,3.28,4.64,78.66,0.0,0.0,OK,26.536649223855466
47805,24.9,338.0,313.1,6.72,52.484004,-1.890178,9,3.39,3.06,67.08,4.0,4.0,OK,24.535309031019516
