Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status,DistanceToTarget(m)
14643,26.1,270.0,243.9,5.76,52.484222,-1.890122,9,0.0,356.97,131.09,144.0,144.0,OK,57.726483210179566
15679,23.4,271.0,247.6,5.76,52.484222,-1.890122,9,0.0,356.97,132.44,136.0,136.0,OK,57.726483210179566
16713,35.0,276.0,241.0,5.76,52.484222,-1.890122,9,0.0,356.97,126.64,148.0,148.0,OK,57.726483210179566
17761,34.7,293.0,258.3,5.76,52.484222,-1.890122,8,0.0,356.97,126.79,114.0,114.0,OK,57.726483210179566
18817,47.4,313.0,265.6,1.44,52.484222,-1.890122,8,0.0,356.97,120.44,100.0,100.0,OK,57.726483210179566
19855,55.9,340.0,284.1,1.44,52.48423,-1.890043,9,0.0,356.97,117.6,62.0,62.0,OK,53.06155996173449
20893,39.0,338.0,299.0,1.44,52.484241,-1.890042,9,2.61,56.88,126.7,32.0,32.0,OK,53.48316984244194
21924,30.7,0.0,329.3,1.44,52.484249,-1.890038,9,3.26,34.55,131.43,0.0,0.0,OK,53.60415171976186
22953,41.5,12.0,330.5,1.44,52.48426,-1.890033,8,3.32,38.23,126.54,0.0,0.0,OK,53.82667604270326
24010,54.8,2.0,307.2,2.88,52.484272,-1.890032,8,4.76,22.52,120.35,16.0,16.0,OK,54.36965873541159
25043,57.5,0.0,302.5,2.88,52.484287,-1.89003,7,4.91,19.23,119.79,26.0,26.0,OK,55.042076026909285
26078,49.8,0.0,310.2,2.88,52.484291,-1.890022,7,3.96,32.89,124.02,10.0,10.0,OK,54.78931928002418
27111,48.2,0.0,311.8,2.88,52.484298,-1.890013,7,4.22,30.11,125.29,8.0,8.0,OK,54.65633490427732
28161,54.7,0.0,305.3,2.88,52.484306,-1.890007,7,4.26,37.95,122.73,20.0,20.0,OK,54.77217994581499
29206,71.0,349.0,278.0,3.84,52.484313,-1.889997,9,4.61,38.73,115.08,74.0,74.0,OK,54.617382962603536
30240,82.7,340.0,257.3,3.84,52.484325,-1.889987,9,4.26,39.09,109.97,116.0,116.0,OK,54.79453657529318
31275,102.7,344.0,241.3,3.84,52.484336,-1.889973,8,4.06,59.31,100.7,148.0,148.0,OK,54.727423804217985
32321,121.9,339.0,217.1,3.84,52.48434,-1.88996,8,4.3,65.62,91.51,180.0,180.0,OK,54.28533805818378
33355,117.1,331.0,213.9,3.84,52.484344,-1.889943,8,4.69,84.14,94.4,180.0,180.0,OK,53.644417412531425
34413,116.2,332.0,215.8,3.36,52.484344,-1.889927,8,3.85,83.32,95.28,180.0,180.0,OK,52.79661946316893
35444,113.8,330.0,216.2,3.36,52.484344,-1.88991,8,4.32,92.31,96.75,180.0,180.0,OK,51.905441982870826
36475,124.8,327.0,202.2,3.36,52.484344,-1.889893,9,4.8,94.63,91.7,180.0,180.0,OK,51.02467191538163
37507,144.6,324.0,179.4,3.36,52.48434,-1.889875,8,4.37,98.88,81.89,180.0,180.0,OK,49.811010887993284
38550,167.8,320.0,152.2,3.36,52.484336,-1.889858,7,4.02,111.27,70.52,180.0,180.0,OK,48.65236621418418
39609,168.7,320.0,151.3,2.4,52.484333,-1.889847,7,3.87,128.15,70.18,180.0,180.0,OK,47.874130148039335
40639,168.2,320.0,151.8,2.4,52.484325,-1.889835,8,4.48,143.5,70.38,180.0,180.0,OK,46.67559547663832
41669,165.6,320.0,154.4,2.4,52.484321,-1.889825,8,3.37,136.33,71.58,180.0,180.0,OK,45.87418661274164
42713,148.9,321.0,172.1,2.4,52.484313,-1.889817,9,3.33,157.51,79.97,180.0,180.0,OK,44.878425051646126
43742,144.0,323.0,179.0,1.92,52.48431,-1.889812,9,2.48,157.66,82.37,180.0,180.0,OK,44.403851052728875
44798,166.1,323.0,156.9,1.92,52.484302,-1.889807,9,3.17,154.49,70.8,180.0,180.0,OK,43.563989068896376
45841,177.0,319.0,142.0,1.92,52.484283,-1.889793,9,3.69,157.7,64.82,180.0,180.0,OK,41.47743201364844
46871,171.8,318.0,146.2,1.92,52.484279,-1.889783,9,3.94,155.79,67.49,180.0,180.0,OK,40.67202025404241
47902,155.2,315.0,159.8,1.92,52.484268,-1.889777,9,3.41,146.38,74.93,180.0,180.0,OK,39.585586969678694
48950,123.2,312.0,188.8,1.92,52.484264,-1.889768,9,3.8,145.57,91.26,180.0,180.0,OK,38.8318106385157
50004,103.7,318.0,214.3,1.92,52.484256,-1.88976,9,3.59,141.33,100.47,180.0,180.0,OK,37.85498117102762
51037,89.6,321.0,231.4,1.92,52.484249,-1.889745,8,3.65,129.91,107.84,168.0,168.0,OK,36.575387082247566
52069,83.8,333.0,249.2,1.92,52.484245,-1.88973,7,4.26,121.31,110.59,132.0,132.0,OK,35.50274710655368
53117,106.7,341.0,234.3,1.92,52.484241,-1.889717,8,3.83,105.53,99.31,162.0,162.0,OK,34.53771154005623
54156,117.7,327.0,209.3,3.36,52.484233,-1.889698,8,4.33,105.51,94.01,180.0,180.0,OK,32.97799663420941
55221,110.3,318.0,207.7,3.36,52.48423,-1.889687,7,2.5,96.6,97.71,180.0,180.0,OK,32.190207391965025
56252,107.8,335.0,227.2,3.36,52.484226,-1.889677,7,2.94,114.78,99.03,176.0,176.0,OK,31.384849069815044
57288,93.9,0.0,266.1,3.36,52.484226,-1.889658,8,3.7,103.91,106.49,98.0,98.0,OK,30.404909175279222
58321,94.7,0.0,265.3,3.36,52.484226,-1.889638,9,4.17,94.41,106.95,100.0,100.0,OK,29.398945764268856
59372,94.2,0.0,265.8,5.76,52.484226,-1.88962,8,4.02,90.8,107.8,100.0,100.0,OK,28.518239548035734
60426,101.5,0.0,258.5,5.76,52.48423,-1.889603,8,3.94,83.34,105.25,114.0,114.0,OK,28.032953114253704
61459,107.6,0.0,252.4,5.76,52.484226,-1.889587,8,3.87,92.3,102.52,126.0,126.0,OK,26.97206902990522
62493,107.1,345.0,237.9,5.76,52.484222,-1.88956,9,4.15,96.91,103.78,156.0,156.0,OK,25.4384780909512
63544,106.2,348.0,241.8,5.76,52.484218,-1.889542,9,4.2,91.89,105.03,148.0,148.0,OK,24.3263817652242
64569,89.3,356.0,266.7,7.2,52.484214,-1.889522,8,5.37,102.54,114.29,98.0,98.0,OK,23.153254128290722
65624,85.7,0.0,274.3,7.2,52.48421,-1.889493,9,7.15,107.8,117.52,82.0,82.0,OK,21.674572888597698
66656,86.2,1.0,274.8,7.2,52.484207,-1.889472,8,5.19,101.43,118.26,82.0,82.0,OK,20.65033958631873
