Log File Information
Timestamp,20250417_174731
Port,/dev/ttyACM0
Baud Rate,115200
Time(ms) (s),Heading(°) (degrees),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,Sat,Rudder(°),Sail(°),TargetSail(°),Status
1000,129.4,0.0,52.484123,-1.889412,4,0.26,223.59,91.4,140.0,168.0,OK
2045,129.4,0.0,52.484123,-1.889417,4,0.09,5.12,91.42,168.0,168.0,OK
3090,129.4,0.0,52.484123,-1.889425,4,0.04,230.13,91.45,168.0,168.0,OK
4135,129.4,0.0,52.484119,-1.889432,4,0.04,297.87,91.47,168.0,168.0,OK
5180,129.4,0.0,52.484115,-1.88944,4,0.04,99.26,91.51,168.0,168.0,OK
6225,129.4,0.0,52.484115,-1.889445,4,0.04,99.26,91.52,168.0,168.0,OK
7270,129.4,0.0,52.484111,-1.889447,4,0.06,327.77,91.53,168.0,168.0,OK
8315,129.4,0.0,52.484111,-1.889447,4,0.02,192.39,91.53,168.0,168.0,OK
9360,129.4,0.0,52.484107,-1.889445,4,0.0,0.0,91.52,168.0,168.0,OK
10405,129.4,0.0,52.484104,-1.889445,4,0.02,272.17,91.52,168.0,168.0,OK
11450,129.4,0.0,52.484096,-1.889383,5,0.06,147.07,91.28,168.0,168.0,OK
12495,129.4,0.0,52.484092,-1.889358,5,0.07,4.04,91.19,168.0,168.0,OK
13540,129.4,0.0,52.484088,-1.889342,5,0.02,235.16,91.12,168.0,168.0,OK
14585,129.4,0.0,52.484085,-1.889333,5,0.02,134.73,91.09,168.0,168.0,OK
15630,129.4,0.48,52.484081,-1.889327,5,0.06,334.49,91.06,168.0,168.0,OK
16675,129.4,0.48,52.484081,-1.889323,5,0.0,47.79,91.05,168.0,168.0,OK
17720,100.4,0.48,52.484077,-1.889318,5,0.0,23.7,91.03,110.0,110.0,OK
18765,22.4,0.48,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
19810,14.4,0.48,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
20855,14.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
21900,14.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
22945,14.4,0.96,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
