Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
20530,2.7,297.0,294.3,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
20615,355.2,133.0,137.8,1.92,52.483963,-1.889033,5,0.87,95.56,45.0,180.0,180.0,OK
20751,165.0,40.0,235.0,3.84,52.483768,-1.889952,9,4.24,294.18,135.0,160.0,160.0,OK
20893,39.0,338.0,299.0,1.44,52.484241,-1.890042,9,2.61,56.88,126.7,32.0,32.0,OK
21093,359.6,129.0,129.4,0.48,52.484081,-1.889323,5,0.0,47.79,91.05,168.0,168.0,OK
21563,2.7,297.0,294.3,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
21643,355.2,134.0,138.8,1.92,52.483947,-1.888983,5,0.76,96.48,45.0,180.0,180.0,OK
21816,188.1,24.0,195.9,5.28,52.483776,-1.889968,9,4.33,290.95,135.0,180.0,180.0,OK
21924,30.7,0.0,329.3,1.44,52.484249,-1.890038,9,3.26,34.55,131.43,0.0,0.0,OK
22132,359.6,100.0,100.4,0.48,52.484077,-1.889318,5,0.0,23.7,91.03,110.0,110.0,OK
22596,2.7,297.0,294.3,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
22678,342.6,149.0,166.4,1.92,52.48397,-1.888967,5,0.63,95.33,45.0,180.0,180.0,OK
22852,220.5,10.0,149.5,5.28,52.483779,-1.889982,9,3.91,319.67,135.0,180.0,180.0,OK
22953,41.5,12.0,330.5,1.44,52.48426,-1.890033,8,3.32,38.23,126.54,0.0,0.0,OK
23180,359.6,22.0,22.4,0.48,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
23631,2.7,297.0,294.3,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,42.0,42.0,OK
