Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
104810,5.90,32.00,26.10,2.88,52.483943,-1.889290,7,0.00,287.45,45.00,0.00,0.00,OK
105838,17.00,0.00,343.00,2.88,52.483940,-1.889278,7,3.33,107.68,45.00,0.00,0.00,OK
106866,10.10,0.00,349.90,2.88,52.483943,-1.889267,7,3.20,134.84,45.00,0.00,0.00,OK
107919,21.30,0.00,338.70,2.88,52.483947,-1.889253,7,3.85,134.68,45.00,0.00,0.00,OK
108952,20.10,346.00,325.90,2.88,52.483943,-1.889245,7,3.44,151.15,45.00,0.00,0.00,OK
109982,42.30,345.00,302.70,2.88,52.483947,-1.889240,7,2.61,150.07,45.00,26.00,26.00,OK
111030,40.10,344.00,303.90,3.36,52.483947,-1.889235,7,2.06,154.67,45.00,24.00,24.00,OK
112063,39.80,342.00,302.20,3.36,52.483951,-1.889230,7,1.80,151.13,45.00,26.00,26.00,OK
113132,40.00,341.00,301.00,3.36,52.483951,-1.889225,7,0.00,162.32,45.00,28.00,28.00,OK
114168,47.40,339.00,291.60,3.36,52.483951,-1.889215,7,0.00,163.80,45.00,48.00,48.00,OK
115205,65.50,333.00,267.50,2.40,52.483951,-1.889202,7,2.50,161.57,135.00,96.00,96.00,OK
116239,62.90,328.00,265.10,2.40,52.483947,-1.889202,7,2.26,183.41,135.00,100.00,100.00,OK
117285,59.90,320.00,260.10,2.40,52.483943,-1.889200,7,2.15,191.23,45.00,110.00,110.00,OK
118341,59.80,319.00,259.20,2.40,52.483940,-1.889200,7,2.28,221.71,45.00,112.00,112.00,OK
119373,53.90,308.00,254.10,2.40,52.483936,-1.889192,7,2.17,172.30,45.00,118.00,122.00,OK
120414,50.40,308.00,257.60,2.88,52.483932,-1.889192,7,1.83,173.01,45.00,116.00,116.00,OK
121460,41.90,307.00,265.10,2.88,52.483928,-1.889178,7,1.96,126.64,45.00,100.00,100.00,OK
122494,44.10,314.00,269.90,2.88,52.483928,-1.889172,7,1.65,133.35,45.00,92.00,92.00,OK
123563,92.20,13.00,280.80,2.88,52.483924,-1.889168,7,0.00,127.38,135.00,70.00,70.00,OK
124597,110.00,11.00,261.00,2.88,52.483924,-1.889172,6,0.00,158.51,135.00,108.00,108.00,OK
125633,62.20,0.00,297.80,2.40,52.483924,-1.889172,6,0.00,141.39,125.00,36.00,36.00,OK
126668,55.30,0.00,304.70,2.40,52.483924,-1.889172,7,0.00,141.39,45.00,22.00,22.00,OK
127717,62.50,0.00,297.50,2.40,52.483924,-1.889172,7,0.00,141.39,45.00,36.00,36.00,OK
128770,60.40,0.00,299.60,2.40,52.483924,-1.889172,7,0.00,141.39,45.00,32.00,32.00,OK
129806,54.80,0.00,305.20,2.40,52.483924,-1.889172,7,0.00,141.39,45.00,20.00,20.00,OK
130838,49.00,0.00,311.00,1.44,52.483924,-1.889172,7,0.00,141.39,45.00,8.00,8.00,OK
131886,48.80,0.00,311.20,1.44,52.483924,-1.889172,7,0.00,141.39,45.00,8.00,8.00,OK
132923,63.40,0.00,296.60,1.44,52.483924,-1.889172,7,0.00,141.39,45.00,38.00,38.00,OK
133990,59.50,0.00,300.50,1.44,52.483917,-1.889170,7,3.69,186.01,45.00,30.00,30.00,OK
135026,47.80,0.00,312.20,1.44,52.483909,-1.889172,7,3.59,183.79,45.00,6.00,6.00,OK
136054,37.70,0.00,322.30,1.92,52.483901,-1.889173,7,3.15,174.26,45.00,0.00,0.00,OK
137083,33.30,0.00,326.70,1.92,52.483898,-1.889175,7,3.28,178.42,45.00,0.00,0.00,OK
138127,45.10,0.00,314.90,1.92,52.483886,-1.889177,7,3.30,173.73,45.00,2.00,2.00,OK
139185,84.30,0.00,275.70,1.92,52.483882,-1.889177,7,3.35,176.61,135.00,80.00,80.00,OK
140221,102.70,0.00,257.30,2.88,52.483875,-1.889180,7,1.80,196.48,135.00,116.00,116.00,OK
141254,109.00,0.00,251.00,2.88,52.483871,-1.889187,7,2.02,224.96,135.00,128.00,128.00,OK
142302,82.00,359.00,277.00,2.88,52.483867,-1.889197,7,2.52,223.98,135.00,76.00,76.00,OK
143336,64.90,358.00,293.10,2.88,52.483860,-1.889203,7,3.96,204.94,45.00,44.00,44.00,OK
144404,61.80,0.00,298.20,2.88,52.483848,-1.889210,7,3.78,203.91,45.00,34.00,34.00,OK
145438,57.80,0.00,302.20,2.88,52.483840,-1.889217,7,4.06,198.61,45.00,26.00,26.00,OK
146471,62.80,0.00,297.20,2.88,52.483833,-1.889222,6,3.94,202.68,45.00,36.00,36.00,OK
147506,102.60,0.00,257.40,2.88,52.483829,-1.889228,7,3.37,210.50,135.00,116.00,116.00,OK
148553,112.10,0.00,247.90,2.88,52.483821,-1.889237,7,3.69,230.83,135.00,136.00,136.00,OK
149608,116.10,0.00,243.90,2.88,52.483814,-1.889265,7,3.87,234.59,135.00,144.00,144.00,OK
150649,92.80,0.00,267.20,2.40,52.483806,-1.889280,7,4.11,241.17,135.00,96.00,96.00,OK
151683,75.70,16.00,300.30,2.40,52.483798,-1.889292,7,3.98,230.16,45.00,30.00,30.00,OK
152717,74.30,34.00,319.70,2.40,52.483787,-1.889300,7,4.63,201.75,45.00,0.00,0.00,OK
153747,89.30,43.00,313.70,2.40,52.483779,-1.889313,7,5.00,198.48,135.00,4.00,4.00,OK
154816,127.10,34.00,266.90,2.40,52.483772,-1.889330,7,4.20,223.48,135.00,98.00,98.00,OK
155842,137.50,23.00,245.50,3.36,52.483768,-1.889347,7,4.13,227.56,135.00,140.00,140.00,OK
156879,122.90,15.00,252.10,3.36,52.483764,-1.889363,7,4.39,242.47,135.00,126.00,126.00,OK
157916,87.10,14.00,286.90,3.36,52.483757,-1.889382,7,3.98,244.83,135.00,58.00,58.00,OK
158964,81.60,30.00,308.40,3.36,52.483753,-1.889400,7,4.26,218.02,45.00,14.00,14.00,OK
160021,83.70,40.00,316.30,3.36,52.483745,-1.889415,7,4.26,222.05,45.00,0.00,0.00,OK
161054,121.10,48.00,286.90,3.36,52.483737,-1.889432,7,4.59,224.97,135.00,58.00,58.00,OK
162088,131.00,40.00,269.00,3.36,52.483734,-1.889450,7,4.70,243.59,135.00,92.00,92.00,OK
163140,106.60,25.00,278.40,3.36,52.483730,-1.889468,7,4.19,238.33,135.00,74.00,74.00,OK
164174,97.80,22.00,284.20,3.36,52.483726,-1.889488,7,3.74,261.39,135.00,62.00,62.00,OK
165233,112.30,23.00,270.70,3.84,52.483726,-1.889508,7,4.32,260.69,135.00,90.00,90.00,OK
166269,126.70,17.00,250.30,3.84,52.483726,-1.889530,7,4.35,255.25,135.00,130.00,130.00,OK
167304,140.30,2.00,221.70,3.84,52.483726,-1.889550,7,5.00,249.38,135.00,180.00,180.00,OK
168329,139.30,1.00,221.70,3.84,52.483722,-1.889568,7,3.89,257.31,135.00,180.00,180.00,OK
169374,135.30,0.00,224.70,3.84,52.483726,-1.889587,7,5.00,311.63,135.00,180.00,180.00,OK
170431,123.80,0.00,236.20,3.36,52.483730,-1.889602,7,3.94,265.52,135.00,158.00,158.00,OK
171465,126.70,9.00,242.30,3.36,52.483730,-1.889617,7,3.20,251.30,135.00,146.00,146.00,OK
172499,130.60,21.00,250.40,3.36,52.483730,-1.889635,7,3.91,254.70,135.00,130.00,130.00,OK
173549,146.90,23.00,236.10,3.36,52.483730,-1.889655,7,3.72,274.85,135.00,154.00,158.00,OK
174584,171.00,22.00,211.00,3.36,52.483737,-1.889680,7,3.94,273.04,135.00,180.00,180.00,OK
175654,179.20,15.00,195.80,3.36,52.483745,-1.889720,7,3.87,306.79,129.86,180.00,180.00,OK
