Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
13617,27.10,270.00,0.00,5.76,0.000000,0.000000,0,0.00,0.00,90.00,90.00,90.00,GPS_ERROR
14643,26.10,270.00,243.90,5.76,52.484222,-1.890122,9,0.00,356.97,131.09,144.00,144.00,OK
15679,23.40,271.00,247.60,5.76,52.484222,-1.890122,9,0.00,356.97,132.44,136.00,136.00,OK
16713,35.00,276.00,241.00,5.76,52.484222,-1.890122,9,0.00,356.97,126.64,148.00,148.00,OK
17761,34.70,293.00,258.30,5.76,52.484222,-1.890122,8,0.00,356.97,126.79,114.00,114.00,OK
18817,47.40,313.00,265.60,1.44,52.484222,-1.890122,8,0.00,356.97,120.44,100.00,100.00,OK
19855,55.90,340.00,284.10,1.44,52.484230,-1.890043,9,0.00,356.97,117.60,62.00,62.00,OK
20893,39.00,338.00,299.00,1.44,52.484241,-1.890042,9,2.61,56.88,126.70,32.00,32.00,OK
21924,30.70,0.00,329.30,1.44,52.484249,-1.890038,9,3.26,34.55,131.43,0.00,0.00,OK
22953,41.50,12.00,330.50,1.44,52.484260,-1.890033,8,3.32,38.23,126.54,0.00,0.00,OK
24010,54.80,2.00,307.20,2.88,52.484272,-1.890032,8,4.76,22.52,120.35,16.00,16.00,OK
25043,57.50,0.00,302.50,2.88,52.484287,-1.890030,7,4.91,19.23,119.79,26.00,26.00,OK
26078,49.80,0.00,310.20,2.88,52.484291,-1.890022,7,3.96,32.89,124.02,10.00,10.00,OK
27111,48.20,0.00,311.80,2.88,52.484298,-1.890013,7,4.22,30.11,125.29,8.00,8.00,OK
28161,54.70,0.00,305.30,2.88,52.484306,-1.890007,7,4.26,37.95,122.73,20.00,20.00,OK
29206,71.00,349.00,278.00,3.84,52.484313,-1.889997,9,4.61,38.73,115.08,74.00,74.00,OK
30240,82.70,340.00,257.30,3.84,52.484325,-1.889987,9,4.26,39.09,109.97,116.00,116.00,OK
31275,102.70,344.00,241.30,3.84,52.484336,-1.889973,8,4.06,59.31,100.70,148.00,148.00,OK
32321,121.90,339.00,217.10,3.84,52.484340,-1.889960,8,4.30,65.62,91.51,180.00,180.00,OK
33355,117.10,331.00,213.90,3.84,52.484344,-1.889943,8,4.69,84.14,94.40,180.00,180.00,OK
34413,116.20,332.00,215.80,3.36,52.484344,-1.889927,8,3.85,83.32,95.28,180.00,180.00,OK
35444,113.80,330.00,216.20,3.36,52.484344,-1.889910,8,4.32,92.31,96.75,180.00,180.00,OK
36475,124.80,327.00,202.20,3.36,52.484344,-1.889893,9,4.80,94.63,91.70,180.00,180.00,OK
37507,144.60,324.00,179.40,3.36,52.484340,-1.889875,8,4.37,98.88,81.89,180.00,180.00,OK
38550,167.80,320.00,152.20,3.36,52.484336,-1.889858,7,4.02,111.27,70.52,180.00,180.00,OK
39609,168.70,320.00,151.30,2.40,52.484333,-1.889847,7,3.87,128.15,70.18,180.00,180.00,OK
40639,168.20,320.00,151.80,2.40,52.484325,-1.889835,8,4.48,143.50,70.38,180.00,180.00,OK
41669,165.60,320.00,154.40,2.40,52.484321,-1.889825,8,3.37,136.33,71.58,180.00,180.00,OK
42713,148.90,321.00,172.10,2.40,52.484313,-1.889817,9,3.33,157.51,79.97,180.00,180.00,OK
43742,144.00,323.00,179.00,1.92,52.484310,-1.889812,9,2.48,157.66,82.37,180.00,180.00,OK
44798,166.10,323.00,156.90,1.92,52.484302,-1.889807,9,3.17,154.49,70.80,180.00,180.00,OK
45841,177.00,319.00,142.00,1.92,52.484283,-1.889793,9,3.69,157.70,64.82,180.00,180.00,OK
46871,171.80,318.00,146.20,1.92,52.484279,-1.889783,9,3.94,155.79,67.49,180.00,180.00,OK
47902,155.20,315.00,159.80,1.92,52.484268,-1.889777,9,3.41,146.38,74.93,180.00,180.00,OK
48950,123.20,312.00,188.80,1.92,52.484264,-1.889768,9,3.80,145.57,91.26,180.00,180.00,OK
50004,103.70,318.00,214.30,1.92,52.484256,-1.889760,9,3.59,141.33,100.47,180.00,180.00,OK
51037,89.60,321.00,231.40,1.92,52.484249,-1.889745,8,3.65,129.91,107.84,168.00,168.00,OK
52069,83.80,333.00,249.20,1.92,52.484245,-1.889730,7,4.26,121.31,110.59,132.00,132.00,OK
53117,106.70,341.00,234.30,1.92,52.484241,-1.889717,8,3.83,105.53,99.31,162.00,162.00,OK
54156,117.70,327.00,209.30,3.36,52.484233,-1.889698,8,4.33,105.51,94.01,180.00,180.00,OK
55221,110.30,318.00,207.70,3.36,52.484230,-1.889687,7,2.50,96.60,97.71,180.00,180.00,OK
56252,107.80,335.00,227.20,3.36,52.484226,-1.889677,7,2.94,114.78,99.03,176.00,176.00,OK
57288,93.90,0.00,266.10,3.36,52.484226,-1.889658,8,3.70,103.91,106.49,98.00,98.00,OK
58321,94.70,0.00,265.30,3.36,52.484226,-1.889638,9,4.17,94.41,106.95,100.00,100.00,OK
59372,94.20,0.00,265.80,5.76,52.484226,-1.889620,8,4.02,90.80,107.80,100.00,100.00,OK
60426,101.50,0.00,258.50,5.76,52.484230,-1.889603,8,3.94,83.34,105.25,114.00,114.00,OK
61459,107.60,0.00,252.40,5.76,52.484226,-1.889587,8,3.87,92.30,102.52,126.00,126.00,OK
62493,107.10,345.00,237.90,5.76,52.484222,-1.889560,9,4.15,96.91,103.78,156.00,156.00,OK
63544,106.20,348.00,241.80,5.76,52.484218,-1.889542,9,4.20,91.89,105.03,148.00,148.00,OK
64569,89.30,356.00,266.70,7.20,52.484214,-1.889522,8,5.37,102.54,114.29,98.00,98.00,OK
65624,85.70,0.00,274.30,7.20,52.484210,-1.889493,9,7.15,107.80,117.52,82.00,82.00,OK
66656,86.20,1.00,274.80,7.20,52.484207,-1.889472,8,5.19,101.43,118.26,82.00,82.00,OK
67690,108.70,1.00,252.30,7.20,52.484203,-1.889453,8,4.59,99.29,108.04,126.00,126.00,OK
68737,127.30,0.00,232.70,7.20,52.484199,-1.889432,9,7.15,113.59,100.15,166.00,166.00,OK
69776,145.40,0.00,214.60,5.76,52.484191,-1.889410,9,4.78,109.80,92.07,180.00,180.00,OK
70842,151.90,342.00,190.10,5.76,52.484188,-1.889392,9,5.09,115.01,90.42,180.00,180.00,OK
71874,154.50,339.00,184.50,5.76,52.484180,-1.889373,9,5.76,128.32,90.45,180.00,180.00,OK
72906,158.90,328.00,169.10,5.76,52.484165,-1.889348,9,4.33,130.70,89.80,180.00,180.00,OK
73939,132.10,307.00,174.90,5.28,52.484157,-1.889333,9,3.83,140.67,104.43,180.00,180.00,OK
74990,144.60,310.00,165.40,5.28,52.484149,-1.889318,9,5.09,117.49,100.21,180.00,180.00,OK
76046,173.50,299.00,125.50,5.28,52.484142,-1.889315,8,4.02,150.97,85.66,160.00,160.00,OK
77081,187.10,293.00,105.90,5.28,52.484134,-1.889318,9,2.17,212.27,77.55,120.00,120.00,OK
78114,173.60,0.00,186.40,5.28,52.484123,-1.889315,9,3.39,192.68,83.63,180.00,180.00,OK
79164,159.70,25.00,225.30,5.28,52.484111,-1.889312,9,5.69,172.59,89.99,180.00,180.00,OK
80200,140.70,274.00,133.30,5.28,52.484100,-1.889303,9,4.57,174.42,99.74,176.00,176.00,OK
81271,135.90,286.00,150.10,5.28,52.484088,-1.889287,8,4.94,151.45,106.40,180.00,180.00,OK
82304,140.00,296.00,156.00,5.28,52.484077,-1.889275,9,4.28,134.52,108.91,180.00,180.00,OK
83336,138.80,301.00,162.20,5.28,52.484069,-1.889263,9,3.94,137.63,118.14,180.00,180.00,OK
84368,148.70,304.00,155.30,4.32,52.484058,-1.889255,9,5.57,155.42,129.23,180.00,180.00,OK
85416,183.50,309.00,125.50,4.32,52.484043,-1.889248,8,5.20,160.14,135.00,160.00,160.00,OK
86470,203.40,309.00,105.60,4.32,52.484031,-1.889245,7,4.41,180.40,135.00,120.00,120.00,OK
87506,209.50,307.00,97.50,4.32,52.484020,-1.889250,8,4.00,200.25,135.00,104.00,104.00,OK
88539,207.90,297.00,89.10,4.32,52.484012,-1.889255,9,2.70,198.31,135.00,88.00,88.00,OK
89586,183.90,279.00,95.10,1.92,52.484008,-1.889258,9,0.00,197.68,135.00,100.00,100.00,OK
90624,145.30,275.00,129.70,1.92,52.484012,-1.889260,9,0.00,326.01,45.00,168.00,168.00,OK
91674,118.90,275.00,156.10,1.92,52.484012,-1.889260,9,0.00,40.31,45.00,180.00,180.00,OK
92703,93.50,319.00,225.50,1.92,52.484012,-1.889260,9,0.00,40.31,45.00,180.00,180.00,OK
93739,53.60,318.00,264.40,1.92,52.484012,-1.889260,9,0.00,40.31,56.56,102.00,102.00,OK
94774,27.40,322.00,294.60,2.40,52.484012,-1.889260,9,0.00,40.31,69.66,42.00,42.00,OK
95808,9.60,351.00,341.40,2.40,52.484012,-1.889260,9,0.00,40.31,78.56,0.00,0.00,OK
96859,356.70,0.00,3.30,2.40,52.484012,-1.889260,9,0.00,40.31,85.01,0.00,0.00,OK
97887,342.10,0.00,17.90,2.40,52.484012,-1.889260,9,0.00,40.31,92.31,0.00,0.00,OK
98918,335.10,32.00,56.90,2.88,52.484031,-1.889302,9,0.00,40.31,125.23,22.00,22.00,OK
99970,306.10,32.00,85.90,2.88,52.484043,-1.889305,9,3.46,345.49,135.00,80.00,80.00,OK
101006,282.00,32.00,110.00,2.88,52.484046,-1.889310,9,2.93,343.74,135.00,130.00,130.00,OK
102066,285.50,36.00,110.50,2.88,52.484050,-1.889313,9,2.83,339.06,135.00,130.00,130.00,OK
103102,285.50,43.00,117.50,2.88,52.484050,-1.889317,9,2.07,327.36,135.00,144.00,144.00,OK
104135,285.60,43.00,117.40,2.88,52.484046,-1.889318,8,0.00,273.35,135.00,144.00,144.00,OK
105167,285.80,43.00,117.20,2.88,52.484046,-1.889320,9,0.00,194.27,135.00,144.00,144.00,OK
106206,285.80,43.00,117.20,2.88,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
107250,285.80,43.00,117.20,2.88,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
108288,285.80,43.00,117.20,2.88,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
109326,285.80,43.00,117.20,1.44,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
110354,285.80,43.00,117.20,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
111394,285.80,43.00,117.20,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
112452,285.80,43.00,117.20,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
113504,285.70,43.00,117.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
114529,285.70,43.00,117.30,1.44,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
115569,285.70,43.00,117.30,1.44,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
116606,285.70,43.00,117.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
117667,285.70,43.00,117.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
118719,285.70,43.00,117.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
119744,285.70,43.00,117.30,0.48,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
120785,285.70,43.00,117.30,0.48,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
121824,285.70,43.00,117.30,0.48,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
122885,285.70,43.00,117.30,0.48,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
123911,285.70,43.00,117.30,0.96,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
124936,285.70,43.00,117.30,0.96,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
125964,285.70,43.00,117.30,0.96,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
127002,285.70,43.00,117.30,0.96,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
128060,285.70,43.00,117.30,0.96,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
129101,285.70,43.00,117.30,0.96,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
130126,285.70,43.00,117.30,0.96,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
131153,285.70,43.00,117.30,0.96,52.484046,-1.889320,9,0.00,126.56,135.00,144.00,144.00,OK
132192,285.70,43.00,117.30,0.96,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
133238,285.70,43.00,117.30,0.96,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
134277,285.70,43.00,117.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
135307,285.70,43.00,117.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,144.00,144.00,OK
136344,285.70,42.00,116.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,142.00,142.00,OK
137381,285.70,41.00,115.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,140.00,140.00,OK
138439,285.70,41.00,115.30,1.44,52.484046,-1.889320,8,0.00,126.56,135.00,140.00,140.00,OK
139478,285.70,33.00,107.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,124.00,124.00,OK
140518,285.70,32.00,106.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,122.00,122.00,OK
141545,285.70,32.00,106.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,122.00,122.00,OK
142582,285.70,32.00,106.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,122.00,122.00,OK
143641,285.70,31.00,105.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,120.00,120.00,OK
144666,285.70,30.00,104.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,118.00,118.00,OK
145703,285.70,30.00,104.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,118.00,118.00,OK
146735,285.70,29.00,103.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,116.00,116.00,OK
147772,285.70,28.00,102.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,114.00,114.00,OK
148831,285.70,27.00,101.30,1.92,52.484046,-1.889320,8,0.00,126.56,135.00,112.00,112.00,OK
149856,285.70,27.00,101.30,2.40,52.484046,-1.889320,9,0.00,126.56,135.00,112.00,112.00,OK
150882,285.70,27.00,101.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,112.00,112.00,OK
151912,285.70,27.00,101.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,112.00,112.00,OK
152937,285.70,26.00,100.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,110.00,110.00,OK
153997,285.70,25.00,99.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,108.00,108.00,OK
155035,285.70,24.00,98.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,106.00,106.00,OK
156072,285.70,24.00,98.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,106.00,106.00,OK
157102,285.70,24.00,98.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,106.00,106.00,OK
158142,285.70,24.00,98.30,2.40,52.484046,-1.889320,8,0.00,126.56,135.00,106.00,106.00,OK
159200,285.70,24.00,98.30,2.88,52.484046,-1.889320,8,0.00,126.56,135.00,106.00,106.00,OK
160227,285.70,24.00,98.30,2.88,52.484046,-1.889320,8,0.00,126.56,135.00,106.00,106.00,OK
161254,285.70,24.00,98.30,2.88,52.484046,-1.889320,8,0.00,126.56,135.00,106.00,106.00,OK
